Gate voltage (V),Capacitance (F),Effective sonductance (S)
1.004764705882353,-1.2886321430162982e-18,-7.745711949419702e-09
1.0047882352941175,7.878649101821796e-18,-8.517382330697762e-09
1.0048117647058823,-1.3184278943891132e-19,7.284226110485893e-10
1.004835294117647,-3.724654627738846e-18,2.0794540914896586e-08
1.0048588235294118,3.52516537797675e-18,-1.9204329488585538e-08
1.0048823529411763,2.2873371922436375e-18,5.153251129295719e-10
1.004905882352941,-1.7142006704945109e-18,2.9949354163501614e-09
1.0049294117647058,-7.489474677305151e-18,-1.890885813868673e-08
1.0049529411764706,2.6725625028332276e-18,-1.4470944295326937e-08
1.0049764705882354,-7.513417544232786e-18,-1.2950074329415453e-08
1.005,3.2975486430215096e-18,1.7361317853353672e-09
1.0050235294117646,5.85310402205162e-18,2.7488347388981355e-08
1.0050470588235294,-1.0706856253636752e-18,1.4388173287611892e-09
1.0050705882352942,1.475720105458079e-17,4.288356637595646e-09
1.0050941176470587,1.2964069573960852e-17,3.097801415194122e-09
1.0051176470588234,8.975741963471221e-18,-3.647482886310826e-09
1.0051411764705882,4.31422478730919e-18,-2.1873150835226355e-08
1.005164705882353,1.2851510023556103e-17,-2.4534990087141182e-08
1.0051882352941177,2.705277901213612e-17,-1.4028295334946933e-09
1.0052117647058822,3.334432784888032e-17,2.6530241303817603e-08
1.005235294117647,3.345645621215519e-17,3.409997446601191e-08
1.0052588235294118,4.013094465245939e-17,1.834354363174804e-08
1.0052823529411765,4.342297952338097e-17,2.9497172205129282e-08
1.005305882352941,7.613480873003949e-17,1.0574073174088034e-08
1.0053294117647058,6.220886096067963e-17,5.014175139685941e-08
1.0053529411764706,7.232519356975279e-17,1.7370790935504887e-08
1.0053764705882353,5.942638155537587e-17,2.187722609232416e-08
1.0053999999999998,3.717871410098234e-17,1.8220294717731827e-08
1.0054235294117646,5.07694946841132e-19,8.722609555437146e-09
1.0054470588235294,-4.927371351288304e-18,-3.776494769373789e-08
1.0054705882352941,3.210312088030655e-18,9.443628915399639e-09
1.0054941176470589,-2.2721676248845104e-18,-9.345568314431075e-09
1.0055176470588234,-3.461244700438782e-18,-1.727501527286992e-08
1.0055411764705882,-3.170919742014324e-18,4.5980801139042244e-09
1.005564705882353,4.360118703823351e-18,1.8181930454296494e-08
1.0055882352941177,-9.958728352660524e-19,-3.832311801226511e-09
1.0056117647058822,-7.407909884699536e-18,-1.0071081609058472e-08
1.005635294117647,-1.3069734636412512e-17,1.5160526288933275e-08
1.0056588235294117,-5.722208898917433e-18,-2.1232165747762834e-08
1.0056823529411765,-2.9686367233577374e-18,1.7308643050077714e-08
1.0057058823529412,-2.9657000801665223e-19,3.140457634383903e-08
1.0057294117647058,4.357800765360914e-17,2.4502835083513933e-08
1.0057529411764705,5.2900071523246743e-17,2.2331855897314565e-08
1.0057764705882353,5.988260220476291e-17,2.2140882620748262e-08
1.0058,5.763360555380664e-17,3.231295174741445e-08
1.0058235294117646,4.983657914612262e-17,3.946602743532362e-08
1.0058470588235293,4.6721449356414766e-17,1.2841471600844479e-08
1.005870588235294,4.098400073877001e-17,-2.3118431548451806e-09
1.0058941176470588,3.905710587851733e-17,-1.187311495312645e-08
1.0059176470588234,4.2220958689452706e-17,1.2717296344212889e-08
1.0059411764705881,1.5873409179186458e-17,5.965232613986955e-09
1.0059647058823529,2.274780455694044e-17,-1.0022497411839157e-08
1.0059882352941176,1.0986193364301352e-17,1.1254782449695463e-08
1.0060117647058824,8.933784376844099e-18,-5.163360271663067e-09
1.006035294117647,9.997870405304263e-18,1.6897984864493067e-08
1.0060588235294117,5.880618413990314e-18,-8.416386877056941e-09
1.0060823529411764,1.1520298417973162e-17,5.295571465282003e-09
1.0061058823529412,8.729887272186502e-18,2.992356634643985e-08
1.0061294117647057,-1.5711580029334704e-18,7.982278476094536e-09
1.0061529411764705,2.5248263563349084e-19,-1.3141312147582064e-08
1.0061764705882352,4.144279982776132e-18,3.26559796786946e-08
1.0062,1.851073668376389e-18,1.4837585279765766e-08
1.0062235294117647,-5.7236025999512055e-18,8.619726961139792e-09
1.0062470588235293,-5.194324711568395e-19,-5.843237192311678e-10
1.006270588235294,-1.2650680470186929e-17,-1.9173425811534235e-08
1.0062941176470588,-1.0477801870345549e-17,-2.873546874899413e-08
1.0063176470588235,-1.4838663327176574e-17,3.742816216422427e-09
1.006341176470588,-8.392969304068864e-20,-5.266122313813751e-09
