Gate voltage (V),Capacitance (F),Effective sonductance (S)
1.0024117647058823,1.627577547087296e-17,2.4461538323753187e-08
1.002435294117647,5.734820058029196e-17,3.6508950441762357e-09
1.0024588235294118,3.052466168121198e-17,2.9450861325513374e-09
1.0024823529411766,4.2561650539009866e-17,1.1294005152710763e-08
1.0025058823529411,3.997961813073372e-17,3.269272968841532e-08
1.002529411764706,4.04361452333721e-17,-8.168565894920255e-09
1.0025529411764706,3.952059420972012e-17,1.8894054955681646e-08
1.0025764705882354,3.162917943145319e-17,2.0315883138398017e-08
1.0026000000000002,3.0652835377556025e-17,-7.282882718621239e-11
1.0026235294117647,4.171222393164808e-17,-6.626766525812136e-09
1.0026470588235294,4.4552445727066924e-17,-2.9259108350427594e-08
1.0026705882352942,5.960799098676221e-17,-1.9494242917140865e-09
1.002694117647059,5.339110426016016e-17,-1.376234753902072e-10
1.0027176470588235,6.440090578883946e-17,1.9658415105461557e-09
1.0027411764705882,6.38308595924523e-17,-1.0456663703457151e-08
1.002764705882353,7.407738857590361e-17,-4.200902629950831e-10
1.0027882352941178,8.157466612497029e-17,1.4278851880256788e-08
1.0028117647058823,8.3840207186934e-17,3.018685050054159e-08
1.002835294117647,1.0157058891783793e-16,-1.374747679119323e-08
1.0028588235294118,1.0871119098021877e-16,-1.0074381846010943e-08
1.0028823529411766,1.2270226357126146e-16,4.903178327007814e-08
1.0029058823529413,1.311802526548915e-16,3.9795337643356806e-08
1.0029294117647058,1.2303989423706397e-16,1.1759309870070499e-08
1.0029529411764706,1.4696886827887226e-16,3.987531405198938e-08
1.0029764705882354,1.6147397238991477e-16,6.70213948975226e-08
1.0030000000000001,2.1146844148434646e-16,4.6131330921501474e-08
1.0030235294117646,2.1335065707728226e-16,3.9908190105642866e-08
1.0030470588235294,1.9973208837944404e-16,3.621288652517736e-08
1.0030705882352942,1.9488034528353678e-16,8.786009179485874e-09
1.003094117647059,1.3935780095559017e-16,1.759210701762356e-08
1.0031176470588237,6.952018813527754e-17,2.6505900325466236e-08
1.0031411764705882,4.542799607217951e-17,1.5370962673532416e-08
1.003164705882353,3.744806700034004e-17,-1.5842152834340568e-08
1.0031882352941177,3.00969738786847e-17,-1.995305169767779e-08
1.0032117647058825,3.3826746371070816e-17,1.5856966729135983e-08
1.003235294117647,3.867588998152411e-17,1.4700532140484057e-08
1.0032588235294118,4.821162751485361e-17,2.6020638868811785e-08
1.0032823529411765,6.869009958897105e-17,6.616580676196741e-08
1.0033058823529413,1.3563332818752777e-16,2.699244993174897e-08
1.0033294117647058,2.0093616144155532e-16,2.658634120754659e-08
1.0033529411764706,2.1371461447703653e-16,1.6305700500671233e-08
1.0033764705882353,2.0602547848892978e-16,2.5513990572636428e-08
1.0034,1.9193835619416425e-16,3.221185745009418e-08
1.0034235294117648,1.9288345287806776e-16,2.0863823044917218e-08
1.0034470588235294,1.413162104913416e-16,1.5114806591529718e-08
1.0034705882352941,1.3928323151880768e-16,-1.1666819806918868e-08
1.0034941176470589,1.1027230744101933e-16,3.5022573419076878e-09
1.0035176470588236,1.2755275091935326e-16,3.097865417760697e-08
1.0035411764705882,1.1512091517596254e-16,-1.9828792767028407e-08
1.003564705882353,8.021905998579392e-17,-1.5337042418000986e-08
1.0035882352941177,8.016796968952116e-17,3.6558541169348737e-09
1.0036117647058824,7.325730604476701e-17,-3.0498717374461295e-08
1.0036352941176472,5.973788501930584e-17,-1.0445292376414678e-08
1.0036588235294117,6.688611430146337e-17,-3.2354222044603703e-09
1.0036823529411765,5.170100176601369e-17,6.625686345847147e-09
1.0037058823529412,5.179306830110071e-17,1.4829209122665614e-08
1.003729411764706,4.456198563858341e-17,-3.164925784805349e-08
1.0037529411764705,4.343618558727033e-17,-2.7681707716509745e-08
1.0037764705882353,3.612480505977535e-17,-1.145586666264405e-08
1.0038,3.8264580153883805e-17,1.3679568181118404e-08
1.0038235294117648,4.425693248817558e-17,-1.1607938550116897e-08
1.0038470588235293,4.430014353494678e-17,-4.11955429600957e-09
1.003870588235294,3.7399253629118616e-17,-2.0489479408203663e-09
1.0038941176470588,4.559816405114245e-17,1.7307855743091432e-08
1.0039176470588236,4.290248573087915e-17,2.7255732638613393e-08
1.0039411764705883,3.4957426791380596e-17,9.655017871192628e-10
1.0039647058823529,3.3580899743989275e-17,-8.490255827798117e-10
1.0039882352941176,4.814504904698809e-17,-3.058754721730631e-10
