Gate voltage (V),Capacitance (F),Effective sonductance (S)
1.002129411764706,4.768195496322218e-17,-2.051187350210629e-09
1.0021529411764707,5.781394653255176e-17,-9.05028832861811e-10
1.0021764705882354,2.916950051598024e-17,-2.9614178166301552e-09
1.0022,5.120200901594351e-17,-1.2495872429598323e-09
1.0022235294117647,4.530717613047915e-17,1.7344193945627356e-08
1.0022470588235295,5.616114785818614e-17,-2.0338757011463823e-08
1.0022705882352942,5.3325677278800257e-17,-1.3525656867688676e-08
1.0022941176470588,4.506489236800335e-17,-1.4444084333712512e-08
1.0023176470588235,4.3411519209331195e-17,-1.6612363221109702e-08
1.0023411764705883,5.85183718204909e-17,-1.9613627734397235e-08
1.002364705882353,6.252317178503475e-17,-3.147781262221168e-08
1.0023882352941178,6.738682188888038e-17,-4.8201276194291906e-08
1.0024117647058823,6.001116156624206e-17,6.9609754928362675e-09
1.002435294117647,7.387435272090567e-17,-1.0800613212334554e-08
1.0024588235294118,7.698204016772322e-17,3.8781561162845186e-08
1.0024823529411766,8.516054524805168e-17,6.809683094740325e-09
1.0025058823529411,8.928091721630508e-17,3.9319133179903434e-09
1.002529411764706,9.911764655597247e-17,6.27855790981231e-09
1.0025529411764706,9.866466634952709e-17,-3.751833990083737e-08
1.0025764705882354,1.167211097569384e-16,-1.7332825531176678e-08
1.0026000000000002,1.2881500368728783e-16,2.0062791056917115e-08
1.0026235294117647,1.5215103207213302e-16,5.383911848081877e-08
1.0026470588235294,1.4366877853604973e-16,4.455460251853449e-08
1.0026705882352942,1.793769549825582e-16,3.712928055348902e-08
1.002694117647059,1.7098723161089316e-16,6.376865115842155e-08
1.0027176470588235,2.161826379709904e-16,4.537134075578355e-08
1.0027411764705882,2.248805311980854e-16,1.5164009732493257e-08
1.002764705882353,2.2195656844756354e-16,7.488835028624748e-08
1.0027882352941178,2.3843521430272827e-16,5.48383254876637e-08
1.0028117647058823,2.1040939819446967e-16,2.2462911062106708e-08
1.002835294117647,1.5894409355946843e-16,4.7749277579804176e-08
1.0028588235294118,1.180163673441319e-16,1.824014855537742e-08
1.0028823529411766,6.87197699018169e-17,4.120471878801099e-08
1.0029058823529413,4.343029978357122e-17,1.0132374914189671e-08
1.0029294117647058,3.490943652878533e-17,1.0907940189032953e-08
1.0029529411764706,6.470893211762888e-17,1.1201644090235084e-08
1.0029764705882354,1.0890037139021883e-16,3.132209506613879e-08
1.0030000000000001,1.2046772791755214e-16,3.4731469981131156e-08
1.0030235294117646,2.2335368592275515e-16,2.6642110991133058e-08
1.0030470588235294,2.3860520041620875e-16,2.0196674908957502e-08
1.0030705882352942,2.370354250674796e-16,4.212666137566338e-08
1.003094117647059,2.3595197184670667e-16,4.820902268803939e-08
1.0031176470588237,2.0492809279660924e-16,2.4726627385968063e-08
1.0031411764705882,1.719389562416698e-16,5.329554561673587e-08
1.003164705882353,1.629237027847011e-16,5.940372197921648e-09
1.0031882352941177,1.5056623133351442e-16,-8.394241919343293e-09
1.0032117647058825,1.3066591742743166e-16,1.1780612541028278e-08
1.003235294117647,1.370167420609502e-16,1.5806541701529925e-08
1.0032588235294118,1.080497888131981e-16,2.5023521563051344e-08
1.0032823529411765,9.914888032140979e-17,6.184051276360378e-09
1.0033058823529413,9.326789455890253e-17,2.17919762170234e-09
1.0033294117647058,8.172908927824987e-17,1.1569619910151657e-08
1.0033529411764706,9.483892505667017e-17,1.4214088484182483e-08
1.0033764705882353,6.97487779685548e-17,2.246677675053569e-08
1.0034,5.3175521486990013e-17,-1.7822971681078772e-09
1.0034235294117648,7.150869126442224e-17,2.3177342001663484e-10
1.0034470588235294,6.038039329500686e-17,-1.535766343455365e-08
1.0034705882352941,5.951821148141625e-17,2.8895493420761562e-08
1.0034941176470589,5.755381781960465e-17,6.327356843080396e-09
1.0035176470588236,5.458604757111925e-17,-8.145096325628451e-10
1.0035411764705882,3.68932349791369e-17,2.239816157866897e-09
1.003564705882353,3.4047396305957953e-17,1.4012375329231162e-08
1.0035882352941177,3.640149732722574e-17,7.537970018743484e-09
1.0036117647058824,3.466284621003999e-17,8.290940517138283e-09
1.0036352941176472,5.636904162511573e-17,-1.9900192016605096e-08
1.0036588235294117,3.84819412559654e-17,-2.499141696216446e-08
1.0036823529411765,3.764572268734629e-17,-3.4308457201001033e-10
1.0037058823529412,2.2341076284046337e-17,2.596387092787913e-09
