Gate voltage (V),Capacitance (F),Effective sonductance (S)
1.0043647058823528,3.655949441965795e-18,2.2398896900420462e-08
1.0043882352941176,3.67724800760773e-18,-1.3578579551037602e-08
1.0044117647058823,3.599850074178491e-18,2.2450140751606425e-08
1.004435294117647,1.505521760453863e-17,-4.219458837075294e-09
1.0044588235294118,1.7602159767581595e-17,1.8095970347302622e-08
1.0044823529411764,-2.8135415998808087e-18,-8.277269783251034e-09
1.0045058823529411,3.6995385991342224e-19,-4.989297358968577e-09
1.004529411764706,1.5012109184254554e-17,-1.031419794448734e-09
1.0045529411764706,6.442168423230903e-18,-6.1638362905597654e-09
1.0045764705882352,4.458910635273115e-18,1.6944349910359795e-08
1.0046,5.9480716292411136e-18,-9.213611702421829e-09
1.0046235294117647,1.257295341217405e-17,1.2079706917777091e-08
1.0046470588235294,8.927549563157601e-18,1.2095754240348867e-08
1.0046705882352942,3.010773130095669e-17,-2.73414901002277e-09
1.0046941176470587,2.331660799235883e-17,-1.9917136513814123e-10
1.0047176470588235,3.5445616127906434e-17,6.368549226614322e-09
1.0047411764705882,3.323500017037407e-17,1.3335892609414913e-10
1.004764705882353,3.7651192266120405e-17,3.14004225164758e-08
1.0047882352941175,5.047269183651761e-17,-2.0194810481784693e-08
1.0048117647058823,4.8353109060307626e-17,-1.449422254751316e-08
1.004835294117647,3.1992969470769204e-17,3.043767881213071e-08
1.0048588235294118,5.888099228629847e-17,6.319866227413012e-08
1.0048823529411763,7.063040096370409e-17,3.541612267591183e-08
1.004905882352941,7.957568008447635e-17,1.815208664208656e-08
1.0049294117647058,9.744204266595295e-17,2.476127429578381e-08
1.0049529411764706,7.703186726014492e-17,3.3867121116487713e-08
1.0049764705882354,6.745380661334682e-17,1.0384246148433512e-08
1.005,2.1881636878400063e-17,7.212935080689895e-09
1.0050235294117646,1.1595217927193527e-17,5.574751827441729e-09
1.0050470588235294,3.4987787620354345e-19,2.7090627308498992e-09
1.0050705882352942,-5.4227001379042304e-18,1.977856484594561e-08
1.0050941176470587,1.767312447297897e-18,-1.51955206935608e-08
1.0051176470588234,-4.637203975364863e-18,4.268130540376544e-09
1.0051411764705882,-2.827323133029497e-18,-1.149471061473103e-08
1.005164705882353,5.2552835953129275e-18,2.9184341890631134e-09
1.0051882352941177,1.3062591031234263e-18,-1.188298674437838e-08
1.0052117647058822,-9.470665103723783e-18,-5.553403227412388e-09
1.005235294117647,9.40861716475871e-18,-1.2126170628180512e-08
1.0052588235294118,2.127427624812751e-18,-5.822313270835087e-10
1.0052823529411765,-1.9192959308203382e-18,-2.5377657035880108e-08
1.005305882352941,2.898620891502477e-17,4.046274457482129e-08
1.0053294117647058,6.969218778216505e-17,2.7326810469035772e-08
1.0053529411764706,9.157809554497366e-17,-9.775494472428535e-09
1.0053764705882353,1.0681812474356338e-16,7.041101298069398e-09
1.0053999999999998,8.894545883140041e-17,6.58972013451828e-09
1.0054235294117646,7.722298005639681e-17,1.3738382568761337e-08
1.0054470588235294,6.277562970475994e-17,1.25308767034175e-08
1.0054705882352941,5.754942490984939e-17,5.2850433499294174e-08
1.0054941176470589,5.609576099554033e-17,8.709834269329091e-09
1.0055176470588234,5.2914178226375177e-17,4.343039619927384e-09
1.0055411764705882,4.79888026234544e-17,5.777831414063569e-09
1.005564705882353,4.033600051437055e-17,-6.829687860095536e-09
1.0055882352941177,2.081909103802615e-17,1.968401220777956e-08
1.0056117647058822,1.9770648453471135e-17,-3.494878732011172e-08
1.005635294117647,1.9325975603439342e-17,-2.3720522454711365e-08
1.0056588235294117,1.2419905206647173e-17,3.1738887538414724e-09
1.0056823529411765,3.112850313013346e-17,1.4438759582483847e-08
1.0057058823529412,2.006382140766931e-17,1.7927396884981406e-08
1.0057294117647058,2.3616835700248904e-17,8.400000001167763e-09
1.0057529411764705,-2.7361779282584048e-18,3.519803975650514e-08
1.0057764705882353,-1.0203270149228276e-18,4.1150045066002024e-08
1.0058,-3.924008716875475e-18,3.360064505596968e-08
1.0058235294117646,1.67912379014026e-17,-1.4641066573857178e-09
1.0058470588235293,1.1154268953655106e-17,1.4629766078299533e-09
1.005870588235294,4.152629032495427e-18,-6.023338838472312e-09
1.0058941176470588,7.110910046242302e-18,-3.694349981739828e-09
1.0059176470588234,7.980728182281903e-18,-3.56381800934738e-08
1.0059411764705881,3.134103327201285e-18,6.109744846288555e-09
