Gate voltage (V),Capacitance (F),Effective sonductance (S)
1.0023176470588235,2.335061378371509e-17,-8.618753097301279e-09
1.0023411764705883,2.374947821476018e-17,-1.2070074546716733e-08
1.002364705882353,3.8059302346196774e-17,1.9461197789752494e-08
1.0023882352941178,4.082345769704908e-17,-2.423664271064167e-08
1.0024117647058823,4.1343281445941214e-17,-3.110612594356563e-09
1.002435294117647,3.919193422557229e-17,-1.0337636604900876e-08
1.0024588235294118,3.0734637426250934e-17,2.620036378178171e-08
1.0024823529411766,4.1821635162615845e-17,-9.924203494990515e-09
1.0025058823529411,3.989147984047938e-17,1.1849532040910513e-08
1.002529411764706,5.684123465427079e-17,2.5379432761155384e-08
1.0025529411764706,5.239243480317566e-17,-6.625970637132194e-09
1.0025764705882354,4.130522997958975e-17,4.759921683424698e-09
1.0026000000000002,6.401600419712945e-17,1.6004763806071816e-09
1.0026235294117647,5.1300009424303376e-17,-3.469487476335578e-09
1.0026470588235294,5.857196153330591e-17,-5.558888396053066e-09
1.0026705882352942,5.670875189285233e-17,-4.621528727153574e-09
1.002694117647059,7.00299197403836e-17,-8.442723577816938e-09
1.0027176470588235,7.985263528206848e-17,1.0724752015693256e-08
1.0027411764705882,8.97730771186754e-17,1.1283090018870641e-08
1.002764705882353,1.0586157922218573e-16,-5.743071821320673e-09
1.0027882352941178,1.1152232008431608e-16,2.8069156806406148e-08
1.0028117647058823,1.2449760093163999e-16,2.4346023286516203e-08
1.002835294117647,1.4959005305279164e-16,2.378892725271165e-08
1.0028588235294118,1.5075884649776555e-16,3.7162262100487644e-08
1.0028823529411766,1.7092561461061096e-16,7.370799112971728e-08
1.0029058823529413,1.735976765956139e-16,5.7309049764682994e-08
1.0029294117647058,2.088089803777726e-16,1.1436688673253979e-08
1.0029529411764706,2.202981111039347e-16,5.41049339281195e-08
1.0029764705882354,2.3796677619599674e-16,2.2455668063132978e-08
1.0030000000000001,1.658589470014546e-16,8.551334522934612e-09
1.0030235294117646,1.1198656779286767e-16,1.1232772955687181e-08
1.0030470588235294,5.721496990497371e-17,1.883641349151346e-08
1.0030705882352942,3.498257422982638e-17,1.1090845366227266e-08
1.003094117647059,4.923173520382657e-17,-7.0678658038507386e-09
1.0031176470588237,4.64395872591084e-17,-4.999528647302883e-09
1.0031411764705882,5.082978975612298e-17,-3.702102096153077e-09
1.003164705882353,4.2203939367166174e-17,-4.9099113113461276e-09
1.0031882352941177,6.861657949148107e-17,1.8122123254266246e-08
1.0032117647058825,1.0039426517427995e-16,2.3392550478556025e-08
1.003235294117647,2.009606543307808e-16,3.1727970638568744e-08
1.0032588235294118,2.0533774408380345e-16,2.8202168877986576e-08
1.0032823529411765,2.1084113231595509e-16,1.0263488210644535e-08
1.0033058823529413,2.1190673153947362e-16,3.666583992296947e-08
1.0033294117647058,1.966950111840632e-16,-1.8089015590120442e-09
1.0033529411764706,1.814543656655886e-16,2.6378745564380864e-08
1.0033764705882353,1.462232526656695e-16,3.2619883066311916e-08
1.0034,1.2859229000245609e-16,1.222825720189986e-08
1.0034235294117648,1.1681966588178345e-16,-2.0942363548078965e-08
1.0034470588235294,1.036726195394621e-16,3.772614392723801e-09
1.0034705882352941,8.840524874693336e-17,2.9216381518370026e-08
1.0034941176470589,7.910964491167586e-17,-2.1785681762487136e-08
1.0035176470588236,7.419645592454118e-17,-4.9589901654958665e-09
1.0035411764705882,7.223077637068354e-17,-4.392788960794267e-09
1.003564705882353,6.647521522584567e-17,-2.342372255173514e-08
1.0035882352941177,6.710115121338131e-17,-5.643181975555706e-09
1.0036117647058824,6.048488256106183e-17,1.8667454604721885e-08
1.0036352941176472,5.167826553184095e-17,-7.194256999141118e-09
1.0036588235294117,5.0661172937506306e-17,2.3889758133680546e-08
1.0036823529411765,5.392670173016787e-17,9.218052776185841e-09
1.0037058823529412,6.147462148140953e-17,7.489034376930256e-09
1.003729411764706,3.965261497355037e-17,-1.233238345081618e-08
1.0037529411764705,4.1077092426951874e-17,-5.812033098563811e-09
1.0037764705882353,2.856678696674953e-17,2.839852702679771e-08
1.0038,3.0652315910857645e-17,-7.979222637180303e-10
1.0038235294117648,3.0146292940745446e-17,1.3440324565897846e-08
1.0038470588235293,2.2926668773278268e-17,1.6961771143019058e-08
1.003870588235294,4.096332180562291e-17,1.743850844436933e-08
1.0038941176470588,2.3564305857729198e-17,-8.832257164339812e-09
