Gate voltage (V),Capacitance (F),Effective sonductance (S)
1.0021529411764707,4.0407619621212496e-17,-1.0026243682788807e-08
1.0021764705882354,4.84846429230313e-17,4.814217689959051e-09
1.0022,3.465221862119684e-17,-3.475287484528802e-08
1.0022235294117647,4.367023003312835e-17,-3.038160072459409e-09
1.0022470588235295,4.002699999264834e-17,1.8938091923603475e-08
1.0022705882352942,4.093510531551313e-17,2.046574207640127e-08
1.0022941176470588,3.80911853843973e-17,-1.7638947631482712e-08
1.0023176470588235,3.352533455448728e-17,-2.5540612636557805e-10
1.0023411764705883,3.659716071271962e-17,-3.1429448746400874e-08
1.002364705882353,5.452407680143093e-17,-1.3037836683381445e-08
1.0023882352941178,4.71266195674268e-17,-6.756610102582572e-09
1.0024117647058823,5.404991799385747e-17,-2.2964742673294034e-09
1.002435294117647,6.032085664563485e-17,5.0079531466470416e-08
1.0024588235294118,5.709206994678968e-17,2.778478084778882e-08
1.0024823529411766,5.719385513226017e-17,2.2900864885950366e-08
1.0025058823529411,7.945469450359437e-17,3.179629558144978e-08
1.002529411764706,8.668307119710776e-17,1.7549200844164078e-08
1.0025529411764706,8.881261693086908e-17,6.863631138279677e-09
1.0025764705882354,1.0965944480749229e-16,3.9350476711185775e-09
1.0026000000000002,1.2012233907359059e-16,-4.262211851351584e-11
1.0026235294117647,1.4213390321170902e-16,2.0908253395525246e-08
1.0026470588235294,1.514127671051843e-16,1.9283362677691623e-08
1.0026705882352942,1.545113149225441e-16,2.600265586901368e-08
1.002694117647059,1.870261157522137e-16,2.9465436699625444e-08
1.0027176470588235,1.7483830228037975e-16,5.5430331598872117e-08
1.0027411764705882,1.9425403982318907e-16,5.2347257838718675e-08
1.002764705882353,2.251731269300112e-16,-1.0186843465443278e-08
1.0027882352941178,2.3763727439674322e-16,2.9253765425487787e-08
1.0028117647058823,2.2723015486714983e-16,4.1010108628235935e-08
1.002835294117647,1.8341112474453464e-16,8.032372237282385e-10
1.0028588235294118,9.141261390682965e-17,3.2332182012626376e-08
1.0028823529411766,5.383071778629399e-17,4.4021150245705526e-08
1.0029058823529413,2.805410632639406e-17,-6.468124345771979e-09
1.0029294117647058,4.4549310553208067e-17,4.209559167254356e-09
1.0029529411764706,3.4886477111196003e-17,2.202241886058123e-08
1.0029764705882354,5.4471718340798286e-17,3.1923192443131e-08
1.0030000000000001,1.1628082913897354e-16,5.6617941111200294e-08
1.0030235294117646,1.507573898817803e-16,2.297093508846849e-08
1.0030470588235294,2.3932978135437786e-16,1.958926815590303e-08
1.0030705882352942,2.22719298819016e-16,2.5372255159759753e-08
1.003094117647059,2.229974360325609e-16,1.7745324594583474e-08
1.0031176470588237,2.326117038294552e-16,8.612089636636531e-09
1.0031411764705882,1.8910405563075574e-16,1.5311826092119944e-08
1.003164705882353,1.729832181175792e-16,4.779877960605825e-08
1.0031882352941177,1.4987679171933474e-16,3.816726109851895e-08
1.0032117647058825,1.3265546679722324e-16,2.7068130898988317e-08
1.003235294117647,1.3671706013974288e-16,1.2537598814581395e-08
1.0032588235294118,1.2478301125951335e-16,3.6552716796611082e-09
1.0032823529411765,1.05269225531949e-16,-1.0096027620507305e-08
1.0033058823529413,1.080828207589728e-16,-1.8586213041857467e-08
1.0033294117647058,9.36576147126981e-17,9.830915278812528e-09
1.0033529411764706,8.996895250822777e-17,-5.352374151298177e-09
1.0033764705882353,8.521722514950959e-17,-1.0475779996309785e-08
1.0034,8.24710734515849e-17,1.2568874177496844e-08
1.0034235294117648,5.990146355527992e-17,6.298788699182255e-09
1.0034470588235294,5.678139266211117e-17,-8.750558323028859e-10
1.0034705882352941,6.424564958082397e-17,1.8156817012555218e-08
1.0034941176470589,5.1611582365750247e-17,-1.1724327375873042e-08
1.0035176470588236,6.275787060911328e-17,8.073519412102704e-10
1.0035411764705882,4.4145496812024307e-17,1.6972677933541715e-08
1.003564705882353,4.6227072884198235e-17,1.4493787499392276e-08
1.0035882352941177,3.8943345983778167e-17,1.8554542999967607e-08
1.0036117647058824,4.1791409304789484e-17,-1.0883027349962671e-08
1.0036352941176472,3.7886894312051836e-17,3.5267180005977126e-08
1.0036588235294117,3.926097216423476e-17,2.1822126237350837e-08
1.0036823529411765,4.072272575185771e-17,5.991885165717653e-09
1.0037058823529412,4.258754811748306e-17,6.230998949531813e-10
1.003729411764706,2.6331085026393292e-17,-7.406443273383535e-09
