Gate voltage (V),Capacitance (F),Effective sonductance (S)
1.0037764705882353,2.0423765970145635e-17,7.359326224721015e-09
1.0038,2.2224240339727505e-17,8.952606286283069e-10
1.0038235294117648,1.5216280915904743e-17,8.560930342854192e-09
1.0038470588235293,2.5442997793986103e-17,-2.9690065760112326e-08
1.003870588235294,1.9163364571009044e-17,8.112746643060551e-09
1.0038941176470588,2.1323804615206494e-17,4.4221578696540454e-10
1.0039176470588236,2.045968037484343e-17,1.2057396563677789e-08
1.0039411764705883,1.866925196708551e-17,6.32495393272739e-09
1.0039647058823529,3.530535854318712e-17,2.297543976202346e-08
1.0039882352941176,2.7164115181196104e-17,2.0800582372693697e-08
1.0040117647058824,3.2309269456086776e-17,-1.0260987369537387e-08
1.0040352941176471,3.0147105164252314e-17,1.0166510704301818e-08
1.0040588235294117,3.542736328929315e-17,-1.6030707450603994e-08
1.0040823529411764,5.558174606777184e-17,9.344538773798876e-09
1.0041058823529412,4.236591246820445e-17,-1.3502564664361523e-08
1.004129411764706,6.383826962476114e-17,-1.3252968563267256e-08
1.0041529411764707,5.457090866487762e-17,2.35866642303926e-08
1.0041764705882352,6.573975051467672e-17,-2.1666659758779064e-08
1.0042,7.838260791654639e-17,-2.3710372241266848e-08
1.0042235294117647,8.479381348346268e-17,-1.7365816506467435e-08
1.0042470588235295,7.981917383836123e-17,1.5352022791531634e-08
1.004270588235294,9.408084495502466e-17,5.1539707211298e-08
1.0042941176470588,1.1210535897475713e-16,2.5271811515303127e-08
1.0043176470588235,1.4617955337347178e-16,4.547582593402347e-08
1.0043411764705883,1.500206037371125e-16,2.8733089834601334e-08
1.0043647058823528,1.5892812326910896e-16,4.705494579724319e-08
1.0043882352941176,1.7945134998949705e-16,-1.1175925060927225e-08
1.0044117647058823,1.4783082916960609e-16,4.503169391025729e-08
1.004435294117647,1.0656532196676802e-16,5.073971935365537e-08
1.0044588235294118,2.974423616511008e-17,8.710375482018432e-09
1.0044823529411764,1.7604872500039088e-17,4.081170660381617e-09
1.0045058823529411,2.8799500787175194e-17,4.907041057939193e-09
1.004529411764706,2.6217063882934694e-17,1.1762961862478e-09
1.0045529411764706,2.2554814560924223e-17,-2.2402689783266986e-09
1.0045764705882352,1.4510118913650468e-17,-5.510763532489634e-09
1.0046,2.2384169389776074e-17,1.8409514618873216e-08
1.0046235294117647,1.2672628690577462e-17,2.6268852215303415e-08
1.0046470588235294,1.6131531956681368e-17,-1.1906019266634713e-08
1.0046705882352942,3.0393486350746265e-17,-4.681600532287488e-09
1.0046941176470587,5.803217949158179e-17,-1.7402724991151598e-08
1.0047176470588235,1.5033223432063832e-16,8.366449243744131e-09
1.0047411764705882,1.628501207734188e-16,2.533267442695909e-08
1.004764705882353,1.676140236980139e-16,4.518234504413528e-08
1.0047882352941175,1.5809447083053185e-16,1.2006738084875468e-08
1.0048117647058823,1.2597071480256924e-16,3.019303204041411e-08
1.004835294117647,1.1691550299352554e-16,-5.7323291857829825e-09
1.0048588235294118,1.0586768354192069e-16,1.755788548283878e-08
1.0048823529411763,9.645901377975384e-17,-4.49177981753262e-09
1.004905882352941,8.801073242445305e-17,4.785071560381815e-08
1.0049294117647058,7.739650976330532e-17,2.6488708751487227e-08
1.0049529411764706,7.004816708892888e-17,2.580852854976059e-09
1.0049764705882354,5.744127709371826e-17,-3.6183540419402942e-09
1.005,4.991415630203474e-17,-2.1190999163253336e-09
1.0050235294117646,4.9320475792840407e-17,1.8431848913354774e-08
1.0050470588235294,3.534285059017818e-17,-1.1009649919063638e-08
1.0050705882352942,5.663657010180082e-17,-2.1377142791076898e-09
1.0050941176470587,4.696276267124215e-17,1.9756335212507443e-09
1.0051176470588234,3.4860809824773276e-17,-7.068172587730204e-09
1.0051411764705882,3.864382785579271e-17,1.6138892780839614e-08
1.005164705882353,3.901123684502377e-17,6.979179465306154e-09
1.0051882352941177,2.5135576779348602e-17,-2.351193826043684e-08
1.0052117647058822,3.341661796585695e-17,-2.752373733132991e-08
1.005235294117647,2.8375060658402226e-17,-4.242790947683172e-09
1.0052588235294118,1.7290929094327492e-17,3.375582437681761e-08
1.0052823529411765,1.3690480750714298e-17,-4.938517204200066e-09
1.005305882352941,1.8805204676048826e-17,2.7119335193588735e-08
1.0053294117647058,9.0784102386131e-18,3.2908771728010512e-09
1.0053529411764706,2.4350077953715792e-17,-1.0970761790420871e-08
