Gate voltage (V),Capacitance (F),Effective sonductance (S)
1.0035882352941177,1.9414658505895082e-17,1.2516106754186215e-08
1.0036117647058824,2.2445376419626437e-17,5.423429387501456e-09
1.0036352941176472,3.0991983674819164e-17,-8.378999933974045e-09
1.0036588235294117,1.6808071145462246e-17,4.013729991227702e-09
1.0036823529411765,3.094994580961687e-17,-2.0890595049011773e-08
1.0037058823529412,3.8083066898954905e-17,1.7627843761198245e-08
1.003729411764706,3.509790300184422e-17,5.986062206992166e-10
1.0037529411764705,2.6681026541179884e-17,-1.2796130866769024e-08
1.0037764705882353,4.191168706377808e-17,-1.1285161943234568e-08
1.0038,3.611573193495221e-17,3.2674764380265314e-08
1.0038235294117648,3.004791712178591e-17,-9.423375793238045e-10
1.0038470588235293,4.051259306363586e-17,-4.373356084674234e-09
1.003870588235294,3.722526310193053e-17,-5.30336821919867e-09
1.0038941176470588,5.532530575292367e-17,9.111712414321134e-09
1.0039176470588236,5.491373934646903e-17,-2.6544822014625473e-08
1.0039411764705883,4.7999054043735083e-17,1.7099422711089356e-08
1.0039647058823529,8.259004397652044e-17,3.2689098998591805e-08
1.0039882352941176,8.14061034954685e-17,8.309948635805796e-09
1.0040117647058824,7.919535911244099e-17,7.438603621754245e-11
1.0040352941176471,1.0213687190373859e-16,-2.638335151064221e-10
1.0040588235294117,1.0298016321086654e-16,5.3778155446341894e-08
1.0040823529411764,9.697197586952441e-17,6.080025222033371e-08
1.0041058823529412,1.3597513874554903e-16,8.080718634203098e-08
1.004129411764706,1.5022207201760083e-16,5.2610024707176744e-08
1.0041529411764707,1.6446910080654663e-16,5.7960212118072825e-08
1.0041764705882352,1.908956162040108e-16,5.136342215835122e-08
1.0042,2.012776823979088e-16,2.5782794922636257e-08
1.0042235294117647,1.648184769861471e-16,1.4813607084901919e-08
1.0042470588235295,8.590066661635228e-17,2.70270645170699e-08
1.004270588235294,5.506285765477099e-17,-4.146515157250983e-09
1.0042941176470588,2.27148952945108e-17,1.5225431091290413e-09
1.0043176470588235,2.949818382673242e-17,-9.465334207651086e-09
1.0043411764705883,1.843076515254405e-17,-1.0752905081564472e-09
1.0043647058823528,2.3995279708193702e-17,-2.458181040754199e-09
1.0043882352941176,1.9873113738874396e-17,1.796931768634421e-08
1.0044117647058823,2.1937002936740874e-17,2.3634959171177255e-09
1.004435294117647,3.2907913664343666e-17,5.7647708835092144e-09
1.0044588235294118,3.971725900427717e-17,2.018158552338726e-09
1.0044823529411764,7.309851055769845e-17,3.296160350503526e-08
1.0045058823529411,1.265820292646367e-16,7.358020993875343e-08
1.004529411764706,1.7691492225901902e-16,3.296681532018181e-08
1.0045529411764706,1.7935714354917154e-16,2.950351774086755e-08
1.0045764705882352,1.8225588446199595e-16,4.92030594432066e-08
1.0046,1.4991334706778774e-16,4.3983855055491016e-08
1.0046235294117647,1.2321396565634643e-16,2.411361921921821e-08
1.0046470588235294,1.1230407124958952e-16,-1.6477707532828927e-09
1.0046705882352942,1.1150914332874243e-16,-1.802961043826726e-09
1.0046941176470587,1.053877206805183e-16,1.750993921678733e-09
1.0047176470588235,8.571414339255116e-17,3.550263943957435e-08
1.0047411764705882,8.307170139535973e-17,1.1610300466014432e-08
1.004764705882353,7.724707980955789e-17,1.403404284595663e-08
1.0047882352941175,5.730246918517917e-17,1.2830856387593672e-09
1.0048117647058823,5.93232282781996e-17,-1.537598438601749e-08
1.004835294117647,5.578885273211037e-17,1.4827518318930936e-08
1.0048588235294118,5.85401283197621e-17,-1.4598909439975169e-08
1.0048823529411763,3.5539482340929626e-17,3.1396000869306127e-09
1.004905882352941,4.6802738943092236e-17,8.90929101102518e-09
1.0049294117647058,4.152365976423715e-17,3.766931114959254e-08
1.0049529411764706,3.085257152124295e-17,6.1562861596896905e-09
1.0049764705882354,3.8444619262141956e-17,-2.472028788213384e-09
1.005,1.7170270682764824e-17,-4.8688680760220935e-09
1.0050235294117646,3.703899224657221e-17,-8.420526643856128e-09
1.0050470588235294,2.3578088940781306e-17,-6.044486227610551e-09
1.0050705882352942,2.5138849860280566e-17,3.6644698027977964e-09
1.0050941176470587,3.649697287480818e-17,-8.021112700972305e-09
1.0051176470588234,1.9292930334270962e-17,2.3014274390988938e-08
1.0051411764705882,2.152144809852192e-17,-2.984174796822279e-08
1.005164705882353,1.0345515682260434e-17,2.1778271032282916e-09
