Gate voltage (V),Capacitance (F),Effective sonductance (S)
1.0034705882352941,1.4352262141120268e-17,-1.2809948290807575e-08
1.0034941176470589,2.212339656349375e-17,2.640430909116717e-08
1.0035176470588236,3.089428694842334e-17,1.8791796046978937e-08
1.0035411764705882,4.166168498805868e-17,1.3427423351127057e-08
1.003564705882353,2.614787004642469e-17,1.9293356557208296e-09
1.0035882352941177,3.527210381400511e-17,9.36298215182739e-09
1.0036117647058824,2.5849380215618098e-17,-5.258490208964309e-09
1.0036352941176472,2.430074000963188e-17,-4.819947300171171e-09
1.0036588235294117,3.8613353298723874e-17,-2.315117570211283e-09
1.0036823529411765,3.846640060298385e-17,-2.3929789773032766e-08
1.0037058823529412,3.948933708496282e-17,5.273797666985245e-09
1.003729411764706,2.0867839172192515e-17,-5.494044198356888e-11
1.0037529411764705,4.562620181702652e-17,6.9958705079667935e-09
1.0037764705882353,6.381389706971605e-17,1.6746383795316473e-08
1.0038,5.945655305374388e-17,2.581548661150756e-08
1.0038235294117648,5.738535505681374e-17,-6.142942889164954e-10
1.0038470588235293,5.7210499190814e-17,-6.471506266243435e-09
1.003870588235294,8.308306645398819e-17,-2.22024394772527e-09
1.0038941176470588,9.053868800701424e-17,3.87550762525697e-09
1.0039176470588236,9.419125560031036e-17,7.755148996527605e-09
1.0039411764705883,1.127039811476172e-16,1.5812367436151258e-08
1.0039647058823529,1.1564888263254048e-16,6.298062930695424e-08
1.0039882352941176,1.4513158085888707e-16,5.9128041156477785e-08
1.0040117647058824,1.4925484328690544e-16,7.073045210522841e-08
1.0040352941176471,1.677337352949387e-16,8.203437746818012e-08
1.0040588235294117,1.9280514290738173e-16,3.571355790233012e-08
1.0040823529411764,2.0330586806523471e-16,-4.850370689526839e-09
1.0041058823529412,1.7672896836241883e-16,3.199806433147275e-08
1.004129411764706,8.945139637592927e-17,4.29842460572598e-08
1.0041529411764707,1.0092622237043998e-16,8.714605131023138e-10
1.0041764705882352,4.1496623463103516e-17,-1.698531081798533e-08
1.0042,1.964677111182216e-17,-1.6733607771786828e-08
1.0042235294117647,7.965538842559637e-18,-2.532067491592714e-10
1.0042470588235295,2.5198179988442426e-17,-7.768018619376517e-09
1.004270588235294,1.8730277038860077e-17,1.407046130217064e-09
1.0042941176470588,2.8829880937712784e-17,5.445780109955521e-09
1.0043176470588235,2.289800399671487e-17,-3.096154514199769e-08
1.0043411764705883,4.5624935644736056e-17,8.146471677421045e-11
1.0043647058823528,1.0863859785871397e-16,-1.4299539248691028e-09
1.0043882352941176,1.5972394796566996e-16,2.461466138805454e-08
1.0044117647058823,1.9666101643569937e-16,6.55919226226157e-08
1.004435294117647,1.9459367232039807e-16,3.0269504775505826e-08
1.0044588235294118,1.7390887159372534e-16,1.3020144758354963e-08
1.0044823529411764,1.5316882353194987e-16,3.28784888633439e-08
1.0045058823529411,1.3156176479593804e-16,3.008777860575295e-08
1.004529411764706,1.0806882754104602e-16,-7.2122574107831385e-09
1.0045529411764706,1.2651983874975364e-16,2.072871983065767e-08
1.0045764705882352,9.790853306587035e-17,-7.313642151175298e-09
1.0046,8.2963042657623e-17,-4.147562646281511e-08
1.0046235294117647,7.55961203027228e-17,-2.9513421014370734e-09
1.0046470588235294,8.04114667775235e-17,9.923017360060403e-09
1.0046705882352942,6.512881155736738e-17,-1.6294127279263518e-08
1.0046941176470587,6.63187240506052e-17,2.4513210646604302e-09
1.0047176470588235,5.878703263276416e-17,2.213639244801248e-08
1.0047411764705882,5.964562487175182e-17,-2.253580659990658e-08
1.004764705882353,5.2067654865090294e-17,-1.5225390164300586e-09
1.0047882352941175,3.77185699941226e-17,-1.7823717313309275e-08
1.0048117647058823,3.0841595017933996e-17,3.1666732056922595e-09
1.004835294117647,2.6396977462748358e-17,2.886235603198733e-09
1.0048588235294118,2.863596899619535e-17,2.1234295280808867e-08
1.0048823529411763,3.450510684601334e-17,-2.0493771899491194e-08
1.004905882352941,2.0296812927076018e-17,-1.442079837646594e-09
1.0049294117647058,2.4517588109181162e-17,2.2584729787687238e-08
1.0049529411764706,2.2064535659693786e-17,-1.559487908636299e-08
1.0049764705882354,4.0515781567016264e-17,-3.3937663685822138e-09
1.005,2.8098256007479626e-17,1.7880469442323073e-08
1.0050235294117646,2.9996202764794956e-17,-2.3037548193553777e-09
1.0050470588235294,1.9123376347333787e-17,1.4208015893069182e-08
